feature_name,feature_group,model_role,include_for_audit,target_game_univ_auc,target_game_univ_logloss_lift_pct,target_game_univ_p,target_game_univ_q_fdr,target_game_univ_odds_ratio,target_game_multivar_coef_std,target_game_sign_stability_pct,target_game_perm_importance_pctile,target_game_shap_importance_pctile,target_game_ablation_logloss_delta_pct,target_champ_univ_auc,target_champ_univ_logloss_lift_pct,target_champ_univ_p,target_champ_univ_q_fdr,target_champ_univ_odds_ratio,target_champ_multivar_coef_std,target_champ_sign_stability_pct,target_champ_perm_importance_pctile,target_champ_shap_importance_pctile,target_champ_ablation_logloss_delta_pct,target_roundflags_auc_avg,target_roundflags_perm_importance_pctile,importance_rank_stability_std,cutoff_significance_band,cutoff_univariate_band,cutoff_multivariate_band,cutoff_stability_band,overall_recommendation,recommendation_reason,notes
Season,identity_or_label,id_or_label,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TeamID,identity_or_label,id_or_label,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TeamName,identity_or_label,id_or_label,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ConfAbbrev,identity_or_label,id_or_label,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rs_fga,regular_season,feature,1,0.5956674625321668,2.126146408431127,5.3755721398935924e-20,1.2543001659751716e-19,1.4298571070289687,0.0,0.0,27.142857142857142,,-0.00010316978934281308,0.6888557993730408,3.3382397613872246,0.0006176264137856699,0.0019651749529544043,2.1610786171544105,0.011820936900349879,20.0,24.285714285714285,,-0.27076503535963603,0.6074540820965961,54.464285714285715,16.660181561431557,strong,strong,low,mostly_stable,situational,Useful but target-specific or context-dependent,
rs_fgm3,regular_season,feature,1,0.5363219011612206,0.2200920531083284,0.000352103220010389,0.0004707655425252871,1.1429642588771358,0.001552524586499084,20.0,32.857142857142854,,-0.0005725007667273369,0.5847021943573667,-0.15907319597050693,0.0792795255558598,0.11807588912574865,1.4429177022587758,0.011835767278774282,20.0,17.142857142857142,,-0.060395230413586166,0.5457358687290378,53.214285714285715,18.08544534517559,strong,near_noise,low,mostly_stable,situational,Mixed evidence; keep for now pending pruning phase,
rs_fga3,regular_season,feature,1,0.5153805413504756,-0.012804255345781723,0.13521169863847965,0.14788779538583713,1.0571371086119783,-0.024661806007832333,60.0,21.428571428571427,,-0.014684615544786225,0.5125391849529781,-1.229573649409458,0.5002170266106499,0.5471123728553984,1.1526640191445403,0.0,0.0,48.57142857142857,,0.0030000652930452544,0.5151326584783138,58.75000000000001,19.292602385440933,not_significant,near_noise,low,mostly_stable,low_value,Low signal across statistical and predictive checks,
rs_ftm,regular_season,feature,1,0.5112171312549384,0.012043661566476743,0.1628553209226855,0.1753826533013536,1.0532679413133421,-0.13232298415012253,40.0,84.28571428571429,,0.031720039284914694,0.571974921630094,-1.2353505439778751,0.2036991720868715,0.2535970885024157,1.3113279449630888,0.0,0.0,48.57142857142857,,0.0035850083930652416,0.5194787359989663,31.785714285714285,26.812684834369183,not_significant,near_noise,low,unstable,low_value,Low signal across statistical and predictive checks,
rs_fta,regular_season,feature,1,0.5000345303702942,-0.01869154253487169,0.8839792689585921,0.8967905627116152,1.00543623164517,-0.13599194849784704,80.0,74.28571428571429,,-0.014617110541036302,0.5330094043887148,-1.1954016765172917,0.5680183648373923,0.6117120852094994,1.129915984262525,0.0,0.0,48.57142857142857,,0.0006849224282048092,0.507477322327127,68.21428571428571,13.440787250185979,not_significant,near_noise,low,stable,low_value,Low signal across statistical and predictive checks,
rs_orb,regular_season,feature,1,0.5948211112492325,1.8075736301998109,2.5446849366500794e-17,5.746062760177599e-17,1.3866268129486188,0.012767733346503945,40.0,18.571428571428573,,-0.0012920030311781635,0.66641065830721,3.5625605547039307,0.00204279007292334,0.004918325847621328,2.009179732464103,0.1377414674951269,80.0,85.71428571428571,,-0.3148271667931991,0.5790582131758788,22.32142857142857,37.729034138270784,strong,strong,low,unstable,situational,Useful but target-specific or context-dependent,
rs_drb,regular_season,feature,1,0.5675135418586674,1.1851474339484127,8.006819191620249e-12,1.437121393367737e-11,1.2980788107616805,-0.25270719780945683,80.0,95.71428571428572,,-0.23757338351961987,0.7061755485893417,3.0478260538376265,0.0024079341588151555,0.0054372706811955124,1.8750240725978813,-0.038816184332898566,20.0,81.42857142857143,,-1.2996432210787385,0.6064504500403054,51.42857142857142,22.602751021534896,strong,strong,low,mostly_stable,situational,Useful but target-specific or context-dependent,
rs_ast,regular_season,feature,1,0.6211594488667133,3.122315578896723,1.1739257311351066e-27,3.572817442585107e-27,1.539830201412034,-0.16750582856152635,80.0,87.14285714285714,,-0.10216312712978755,0.7412539184952978,6.8477990246874745,1.7906775180254857e-05,9.642109712444922e-05,2.4138352496989803,0.0004396052121135792,20.0,31.428571428571427,,-0.0015455855333491773,0.6404255110993268,82.14285714285714,30.82482875908982,strong,strong,low,unstable,situational,Useful but target-specific or context-dependent,
rs_to,regular_season,feature,1,0.5806741376099555,1.616471430917286,3.087550277522307e-16,6.754016232080047e-16,0.7294996052137657,-0.006724428832760138,20.0,34.285714285714285,,0.0019895642686298984,0.5518495297805642,-1.2183924546118532,0.48463252861704453,0.5384805873522717,0.8587314051978026,0.0,0.0,48.57142857142857,,0.0013094724274897572,0.5683268546098791,42.32142857142857,7.161434175902359,strong,moderate,low,unstable,situational,Useful but target-specific or context-dependent,
rs_stl,regular_season,feature,1,0.5531434305851445,0.5214536462315652,3.5376764215270213e-06,5.15911144806024e-06,1.190363379539454,-0.01926671765424692,60.0,15.714285714285714,,-0.0563849030383625,0.6049529780564263,0.1149710448725196,0.049576726478644834,0.08748881275891461,1.4817782332121194,0.06646389029390366,80.0,68.57142857142857,,-0.30712172747979244,0.5590222758870842,30.0,27.342623276105886,strong,weak,low,unstable,situational,Mixed evidence; keep for now pending pruning phase,
