Abbrev,Stat Name,Description,Unit,Pctile Dir,Available In,Data Source
ATR2 DRB,At The Rim Defensive Rebounds,The total number of defensive rebounds grabbed on opponent's missed shots at the rim.,Integer,Highest # = 100th,"Team Agg PBP, Team Game PBP",pbp
ATR2 FG%,At The Rim FG%,"Field goal percentage at the rim, within 4.5 feet of the basket.",Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Lineup, Team Game PBP, On/Off",pbp
ATR2 FG% (0-10s),At The Rim FG% with 0-10 Secs on Shot Clock,Field goal percentage on shots taken at the rim with 0 - 10 seconds remaining on the shot clock.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
ATR2 FG% (10-20s),At The Rim FG% with 10-20 Secs on Shot Clock,Field goal percentage on shots taken at the rim with 10 - 20 seconds remaining on the shot clock.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
ATR2 FG% (20-30s),At The Rim FG% with 20-30 Secs on Shot Clock,Field goal percentage on shots taken at the rim with 20 - 30 seconds remaining on the shot clock.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
ATR2 FGA,At The Rim FGA,"Field goal attempts at the rim, within 4.5 feet of the basket.",Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Lineup, Team Game PBP, On/Off",pbp
ATR2 FGA (0-10s),At The Rim FGAs with 0-10 Secs on Shot Clock,The total number of field goal attempts at the rim taken with 0 - 10 seconds remaining on the shot clock.,Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
ATR2 FGA (10-20s),At The Rim FGAs with 10-20 Secs on Shot Clock,The total number of field goal attempts at the rim taken with 10 - 20 seconds remaining on the shot clock.,Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
ATR2 FGA (20-30s),At The Rim FGAs with 20-30 Secs on Shot Clock,The total number of field goal attempts at the rim taken with 20 - 30 seconds remaining on the shot clock.,Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
ATR2 FGA/100,At The Rim FGA / 100 Poss,Field goal attempts at the rim (within 4.5 feet of the basket) per 100 possessions played.,Number,Highest # = 100th,"Team Agg PBP, Lineup, On/Off",pbp
ATR2 FGA/40,At The Rim FGA / 40 Mins,Field goal attempts at the rim (within 4.5 feet of the basket) per 40 minutes played.,Number,Highest # = 100th,"Team Agg PBP, Player Agg PBP, Lineup, On/Off",pbp
ATR2 FGA/G,At The Rim FGA / Game,Field goal attempts at the rim (within 4.5 feet of the basket) per game.,Number,Highest # = 100th,"Team Agg PBP, Player Agg PBP",pbp
ATR2 FGA%,At The Rim FGA%,"Percentage of shots taken at the rim, within 4.5 feet of the basket.",Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Lineup, Team Game PBP, On/Off",pbp
ATR2 FGA% (0-10s) A,At The Rim FGA% (0-10s) % of all shots,Percentage of all shots taken that were at the rim with 0 - 10 seconds remaining on the shot clock.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
ATR2 FGA% (0-10s) Z,At The Rim FGA% (0-10s) % of ATR,Percentage of all shots at the rim that were taken with 0 - 10 seconds remaining on the shot clock.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
ATR2 FGA% (0-10s) C,At The Rim FGA% (0-10s) % of 0-10s shots,Percentage of all shots taken with 0 - 10 seconds remaining on the shot clock that were at the rim.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
ATR2 FGA% (10-20s) A,At The Rim FGA% (10-20s) % of all shots,Percentage of all shots taken that were at the rim with 10 - 20 seconds remaining on the shot clock.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
ATR2 FGA% (10-20s) Z,At The Rim FGA% (10-20s) % of ATR,Percentage of all shots at the rim that were taken with 10 - 20 seconds remaining on the shot clock.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
ATR2 FGA% (10-20s) C,At The Rim FGA% (10-20s) % of 10-20s shots,Percentage of all shots taken with 10 - 20 seconds remaining on the shot clock that were at the rim.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
ATR2 FGA% (20-30s) A,At The Rim FGA% (20-30s) % of all shots,Percentage of all shots taken that were at the rim with 20 - 30 seconds remaining on the shot clock.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
ATR2 FGA% (20-30s) Z,At The Rim FGA% (20-30s) % of ATR,Percentage of all shots at the rim that were taken with 20 - 30 seconds remaining on the shot clock.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
ATR2 FGA% (20-30s) C,At The Rim FGA% (20-30s) % of 20-30s shots,Percentage of all shots taken with 20 - 30 seconds remaining on the shot clock that were at the rim.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
ATR2 FGM,At The Rim FGM,Field goals made at the rim (within 4.5 feet of the basket).,Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Lineup, Team Game PBP, On/Off",pbp
ATR2 FGM (0-10s),At The Rim FGMs with 0-10 Secs on Shot Clock,The total number of field goals made at the rim taken with 0 - 10 seconds remaining on the shot clock.,Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
ATR2 FGM (10-20s),At The Rim FGMs with 10-20 Secs on Shot Clock,The total number of field goals made at the rim taken with 10 - 20 seconds remaining on the shot clock.,Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
ATR2 FGM (20-30s),At The Rim FGMs with 20-30 Secs on Shot Clock,The total number of field goals made at the rim taken with 20 - 30 seconds remaining on the shot clock.,Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
ATR2 ORB CHNC,At The Rim Offensive Rebound Chances,The total number of offensive rebounds chances (offensive rebounds grabbed plus opponent defensive rebounds) on the team's missed shots at the rim.,Integer,Highest # = 100th,"Team Agg PBP, Team Game PBP",pbp
ATR2 ORB%,At The Rim Offensive Rebounding Percentage,Percentage of the team's missed shots at the rim that were offensive rebounded by the team.,Percentage,Highest % = 100th,"Team Agg PBP, Team Game PBP",pbp
ATR2 ORB,At The Rim Offensive Rebounds,The total number of offensive rebounds grabbed on the team's missed shots at the rim.,Integer,Highest # = 100th,"Team Agg PBP, Team Game PBP",pbp
ATR2 REB CHNC,At The Rim Rebound Chances,The total number of rebounds chances (rebounds grabbed plus opponent rebounds) on the team's and opponent's missed shots at the rim.,Integer,Highest # = 100th,"Team Agg PBP, Team Game PBP",pbp
ATR2 REB%,At The Rim Rebounding Percentage,Percentage of the team's and opponent's missed shots at the rim that were rebounded by the team.,Percentage,Highest % = 100th,"Team Agg PBP, Team Game PBP",pbp
ATR2 REB,At The Rim Rebounds,The total number of rebounds grabbed on the team's and opponent's missed shots at the rim.,Integer,Highest # = 100th,"Team Agg PBP, Team Game PBP",pbp
ATB3 FG%,Above Break 3s FG%,Field goal percentage on above the break 3s.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Lineup, Team Game PBP, On/Off",pbp
ATB3 FGA,Above Break 3s FGA,The total number of field goal attempts on above the break 3s.,Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Lineup, Team Game PBP, On/Off",pbp
ATB3 FGA%,Above Break 3s FGA%,Percentage of shots taken as above the break 3s.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Lineup, Team Game PBP, On/Off",pbp
ATB3 FG% (0-10s),Above Break 3s FG% with 0-10 Secs on Shot Clock,Field goal percentage on above the break 3s taken with 0 - 10 seconds remaining on the shot clock.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
ATB3 FG% (10-20s),Above Break 3s FG% with 10-20 Secs on Shot Clock,Field goal percentage on above the break 3s taken with 10 - 20 seconds remaining on the shot clock.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
ATB3 FG% (20-30s),Above Break 3s FG% with 20-30 Secs on Shot Clock,Field goal percentage on above the break 3s taken with 20 - 30 seconds remaining on the shot clock.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
ATB3 uFGM,atb3FgmU,No description available,Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
S/CHNC D,Average Seconds / Defensive Chance,"The average number of seconds per defensive chance. This number is identical to seconds / defensive possession, except with seconds after an offensive rebound excluded, and with putback chances excluded. This number effectively measures the average number of seconds from the start of a possession until a team's first shot, shooting foul or turnover.",Number,Highest # = 100th,"Team Agg PBP, Team Game PBP",pbp
S/POSS D,Average Seconds / Defensive Poss,"The average number of seconds per defensive possession. This number measures the average length of entire defensive possessions, so added seconds from offensive rebounds count, as offensive rebounds extend a single possession.",Number,Highest # = 100th,"Team Agg PBP, Team Game PBP",pbp
S/PUT D,Average Seconds / Defensive Putback,"The average number of seconds per defensive putback. This number measures the average length of chances (average seconds until the next shot, shooting foul or turnover) that start following an offensive rebound.",Number,Highest # = 100th,"Team Agg PBP, Team Game PBP",pbp
S/CHNC O,Average Seconds / Offensive Chance,"The average number of seconds per offensive chance. This number is identical to seconds / offensive possession, except with seconds after an offensive rebound excluded, and with putback chances excluded. This number effectively measures the average number of seconds from the start of a possession until a team's first shot, shooting foul or turnover.",Number,Lowest # = 100th,"Team Agg PBP, Team Game PBP",pbp
S/POSS O,Average Seconds / Offensive Poss,"The average number of seconds per offensive possession. This number measures the average length of entire offensive possessions, so added seconds from offensive rebounds count, as offensive rebounds extend a single possession.",Number,Lowest # = 100th,"Team Agg PBP, Team Game PBP",pbp
S/PUT O,Average Seconds / Offensive Putback,"The average number of seconds per offensive putback. This number measures the average length of chances (average seconds until the next shot, shooting foul or turnover) that start following an offensive rebound.",Number,Lowest # = 100th,"Team Agg PBP, Team Game PBP",pbp
2PA Avg Dist,Average Shot Distance on 2-Point Attempts,Average shot distance on 2-point field goal attempts. Shot distances are based on scorekeeper-tagged locations and may contain minor shot-location inaccuracies.,Number,Lowest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
3PA Avg Dist,Average Shot Distance on 3-Point Attempts,Average shot distance on 3-point field goal attempts. Shot distances are based on scorekeeper-tagged locations and may contain minor shot-location inaccuracies. Heaves (above 35 feet) are removed.,Number,Lowest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
ATB3 Avg Dist,Average Shot Distance on Above Break 3s,Average shot distance of above the break 3s attempts. Shot distances are based on scorekeeper-tagged locations and may contain minor shot-location inaccuracies. Heaves (above 35 feet) are removed.,Number,Lowest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
FGA Avg Dist,Average Shot Distance on Field Goal Attempts,Average shot distance on all field goal attempts. Shot distances are based on scorekeeper-tagged locations and may contain minor shot-location inaccuracies. Heaves (above 35 feet) are removed.,Number,Lowest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
BC/Poss CHLG,Backcourt / Poss Challenges,Total number of head coach challenges on backcourt violations or whether team control (possession) was established before a foul or violation (women's basketball only).,Integer,Highest # = 100th,"Team Agg PBP, Team Game PBP",pbp
TOV PASS,Bad Pass Turnover,The total number of turnovers tagged by the scorer as a bad pass turnover by the team.,Integer,Lowest # = 100th,"Team Agg PBP, Team Game PBP",pbp
BC/Poss CHLG%,Backcourt / Poss Challenge Success Percentage,Percentage of coach challenges on backcourt violations or whether team control was established before a foul or violation that were successful (women's basketball only).,Percentage,Highest % = 100th,"Team Agg PBP, Team Game PBP",pbp
BH FG%,Behind The Hoop FG%,Field goal percentage on shots taken behind the hoop.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
BH FGA,Behind The Hoop FGA,Field goal attempts taken behind the hoop.,Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
BH FGA/100,Behind The Hoop FGA / 100 Poss,Field goal attempts taken behind the hoop per 100 possessions played.,Number,Highest # = 100th,Team Agg PBP,pbp
BH FGA/40,Behind The Hoop FGA / 40 Mins,Field goal attempts taken behind the hoop per 40 minutes played.,Number,Highest # = 100th,"Team Agg PBP, Player Agg PBP",pbp
BH FGA/G,Behind The Hoop FGA / Game,Field goal attempts taken behind the hoop per game.,Number,Highest # = 100th,"Team Agg PBP, Player Agg PBP",pbp
BH FGA%,Behind The Hoop FGA%,Percentage of shots taken behind the hoop.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
BH FGM,Behind The Hoop FGM,Field goals made on shots taken behind the hoop.,Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
BENCH/100,Bench Points / 100 Poss,An estimate of the number of bench points per 100 possessions played.,Number,Highest # = 100th,Team Agg,box_score
BENCH/40,Bench Points / 40 Mins,The number of bench points per 40 minutes played.,Number,Highest # = 100th,Team Agg,box_score
BENCH/G,Bench Points / Game,The number of bench points per game.,Number,Highest # = 100th,Team Agg,box_score
BENCH,Bench Points,The total number of bench points.,Integer,Highest # = 100th,"Team Game, Team Agg",box_score
biggestRunAgst,biggestRunAgst,No description available,-,-,Team Game,box_score
BLK%,Block Percentage,An estimate of the percentage of opponent two-point field goal attempts blocked by the player while he was on the floor.,Percentage,Highest % = 100th,"Team Game, Player Agg, Team Agg, Player Game, Lineup, On/Off",box_score
BLKD,Blocked,The total number of times blocked.,Integer,Lowest # = 100th,"Team Game, Player Agg, Team Agg, Player Game",box_score
BLKD/100,Blocked / 100 Poss,An estimate of the number of times blocked per 100 possessions played.,Number,Lowest # = 100th,Team Agg,box_score
BLKD/40,Blocked / 40 Mins,The number of times blocked per 40 minutes played.,Number,Lowest # = 100th,"Player Agg, Team Agg",box_score
BLKD/G,Blocked / Game,The number of times blocked per game.,Number,Lowest # = 100th,"Player Agg, Team Agg",box_score
BLK,Blocks,The total number of blocks.,Integer,Highest # = 100th,"Player Game PBP, Team Game, Player Agg, Team Agg, Player Game, Team Agg PBP, Player Agg PBP, Lineup, Team Game PBP, On/Off","box_score, pbp"
BLK/100,Blocks / 100 Poss,An estimate of the number of blocks per 100 possessions played.,Number,Highest # = 100th,"Team Agg, Team Agg PBP, Lineup, On/Off","box_score, pbp"
BLK/40,Blocks / 40 Mins,The number of blocks per 40 minutes played.,Number,Highest # = 100th,"Player Agg, Team Agg, Team Agg PBP, Player Agg PBP, Lineup, On/Off","box_score, pbp"
BLK/G,Blocks / Game,The number of blocks per game.,Number,Highest # = 100th,"Player Agg, Team Agg, Team Agg PBP, Player Agg PBP","box_score, pbp"
BLK/PF,Blocks / Personal Foul,The ratio of blocks to personal fouls committed by the player.,Ratio,Highest # = 100th,"Team Game, Player Agg, Team Agg, Player Game, Lineup, On/Off",box_score
BLK2,Blocks on 2s,The total number of blocks by the player on opposing 2P shot attempts.,Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
BLK2/100,Blocks on 2s / 100 Poss,"The number of blocks by the player on opposing 2P shot attempts, per 100 possessions played.",Number,Highest # = 100th,Team Agg PBP,pbp
BLK2/40,Blocks on 2s / 40 Mins,"The number of blocks by the player on opposing 2P shot attempts, per 40 minutes played.",Number,Highest # = 100th,"Team Agg PBP, Player Agg PBP",pbp
BLK2/G,Blocks on 2s / Game,"The number of blocks by the player on opposing 2P shot attempts, per game.",Number,Highest # = 100th,"Team Agg PBP, Player Agg PBP",pbp
BLK3,Blocks on 3s,The total number of blocks by the player on opposing 3P shot attempts.,Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
BLK3/100,Blocks on 3s / 100 Poss,"The number of blocks by the player on opposing 3P shot attempts, per 100 possessions played.",Number,Highest # = 100th,Team Agg PBP,pbp
BLK3/40,Blocks on 3s / 40 Mins,"The number of blocks by the player on opposing 3P shot attempts, per 40 minutes played.",Number,Highest # = 100th,"Team Agg PBP, Player Agg PBP",pbp
BLK3/G,Blocks on 3s / Game,"The number of blocks by the player on opposing 3P shot attempts, per game.",Number,Highest # = 100th,"Team Agg PBP, Player Agg PBP",pbp
C3 uFGM,c3FgmU,No description available,Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
CHLG%,Challenge Success Percentage,Percentage of coach challenges that were successful.,Percentage,Highest % = 100th,"Team Agg PBP, Team Game PBP",pbp
Challenge,Head Coach Challenges,Total number of head coach challenges used.,Integer,Highest # = 100th,"Team Agg PBP, Team Game PBP",pbp
C3 ASTD%,Corner 3s Assisted Pct,The percentage of shots made on corner 3s that were assisted.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
C3 DRB CHNC,Corner 3s Defensive Rebound Chances,The total number of defensive rebounds chances (defensive rebounds grabbed plus opponent offensive rebounds) on opponent's missed corner 3s.,Integer,Highest # = 100th,"Team Agg PBP, Team Game PBP",pbp
C3 DRB%,Corner 3s Defensive Rebounding Percentage,Percentage of the opponent's missed corner 3s that were defensive rebounded by the team.,Percentage,Highest % = 100th,"Team Agg PBP, Team Game PBP",pbp
C3 DRB,Corner 3s Defensive Rebounds,The total number of defensive rebounds grabbed on opponent's missed corner 3s.,Integer,Highest # = 100th,"Team Agg PBP, Team Game PBP",pbp
C3 FG%,Corner 3s FG%,Field goal percentage on corner 3-pointers.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Lineup, Team Game PBP, On/Off",pbp
C3 FG% (0-10s),Corner 3s FG% with 0-10 Secs on Shot Clock,Field goal percentage on corner 3s taken with 0 - 10 seconds remaining on the shot clock.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
C3 FG% (10-20s),Corner 3s FG% with 10-20 Secs on Shot Clock,Field goal percentage on corner 3s taken with 10 - 20 seconds remaining on the shot clock.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
C3 FG% (20-30s),Corner 3s FG% with 20-30 Secs on Shot Clock,Field goal percentage on corner 3s taken with 20 - 30 seconds remaining on the shot clock.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
C3 FGA,Corner 3s FGA,Field goal attempts on corner 3-pointers.,Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Lineup, Team Game PBP, On/Off",pbp
C3 FGA (0-10s),Corner 3s FGAs with 0-10 Secs on Shot Clock,The total number of field goal attempts on corner 3s taken with 0 - 10 seconds remaining on the shot clock.,Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
C3 FGA (10-20s),Corner 3s FGAs with 10-20 Secs on Shot Clock,The total number of field goal attempts on corner 3s taken with 10 - 20 seconds remaining on the shot clock.,Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
C3 FGA (20-30s),Corner 3s FGAs with 20-30 Secs on Shot Clock,The total number of field goal attempts on corner 3s taken with 20 - 30 seconds remaining on the shot clock.,Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
C3 FGA/100,Corner 3s FGA / 100 Poss,Field goal attempts on corner 3s per 100 possessions played.,Number,Highest # = 100th,"Team Agg PBP, Lineup, On/Off",pbp
C3 FGA/40,Corner 3s FGA / 40 Mins,Field goal attempts on corner 3s per 40 minutes played.,Number,Highest # = 100th,"Team Agg PBP, Player Agg PBP, Lineup, On/Off",pbp
C3 FGA/G,Corner 3s FGA / Game,Field goal attempts on corner 3s per game.,Number,Highest # = 100th,"Team Agg PBP, Player Agg PBP",pbp
C3 FGA%,Corner 3s FGA%,Percentage of shots taken as corner 3-pointers.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Lineup, Team Game PBP, On/Off",pbp
C3 FGA% (0-10s) A,Corner 3s FGA% (0-10s) % of all shots,Percentage of all shots taken that were corner 3s with 0 - 10 seconds remaining on the shot clock.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
C3 FGA% (0-10s) C,Corner 3s FGA% (0-10s) % of 0-10s shots,Percentage of all shots taken with 0 - 10 seconds remaining on the shot clock that were corner 3s.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
C3 FGA% (0-10s) Z,Corner 3s FGA% (0-10s) % of ATR,Percentage of all corner 3s that were taken with 0 - 10 seconds remaining on the shot clock.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
C3 FGA% (10-20s) A,Corner 3s FGA% (10-20s) % of all shots,Percentage of all shots taken that were corner 3s with 10 - 20 seconds remaining on the shot clock.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
C3 FGA% (10-20s) C,Corner 3s FGA% (10-20s) % of 10-20s shots,Percentage of all shots taken with 10 - 20 seconds remaining on the shot clock that were corner 3s.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
C3 FGA% (10-20s) Z,Corner 3s FGA% (10-20s) % of ATR,Percentage of all corner 3s that were taken with 10 - 20 seconds remaining on the shot clock.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
C3 FGA% (20-30s) A,Corner 3s FGA% (20-30s) % of all shots,Percentage of all shots taken that were corner 3s with 20 - 30 seconds remaining on the shot clock.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
C3 FGA% (20-30s) C,Corner 3s FGA% (20-30s) % of 20-30s shots,Percentage of all shots taken with 20 - 30 seconds remaining on the shot clock that were corner 3s.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
C3 FGA% (20-30s) Z,Corner 3s FGA% (20-30s) % of ATR,Percentage of all corner 3s that were taken with 20 - 30 seconds remaining on the shot clock.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
C3 FGM,Corner 3s FGM,The total number of field goals made on corner 3s.,Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Lineup, Team Game PBP, On/Off",pbp
C3 FGM (0-10s),Corner 3s FGMs with 0-10 Secs on Shot Clock,The total number of field goals made on corner 3s taken with 0 - 10 seconds remaining on the shot clock.,Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
C3 FGM (10-20s),Corner 3s FGMs with 10-20 Secs on Shot Clock,The total number of field goals made on corner 3s taken with 10 - 20 seconds remaining on the shot clock.,Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
C3 FGM (20-30s),Corner 3s FGMs with 20-30 Secs on Shot Clock,The total number of field goals made on corner 3s taken with 20 - 30 seconds remaining on the shot clock.,Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
C3 ORB CHNC,Corner 3s Offensive Rebound Chances,The total number of offensive rebounds chances (offensive rebounds grabbed plus opponent defensive rebounds) on the team's missed corner 3s.,Integer,Highest # = 100th,"Team Agg PBP, Team Game PBP",pbp
C3 ORB%,Corner 3s Offensive Rebounding Percentage,Percentage of the team's missed corner 3s that were offensive rebounded by the team.,Percentage,Highest % = 100th,"Team Agg PBP, Team Game PBP",pbp
C3 ORB,Corner 3s Offensive Rebounds,The total number of offensive rebounds grabbed on the team's missed corner 3s.,Integer,Highest # = 100th,"Team Agg PBP, Team Game PBP",pbp
C3 REB CHNC,Corner 3s Rebound Chances,The total number of rebounds chances (rebounds grabbed plus opponent rebounds) on the team's and opponent's missed corner 3s.,Integer,Highest # = 100th,"Team Agg PBP, Team Game PBP",pbp
C3 REB%,Corner 3s Rebounding Percentage,Percentage of the team's and opponent's missed corner 3s that were rebounded by the team.,Percentage,Highest % = 100th,"Team Agg PBP, Team Game PBP",pbp
C3 REB,Corner 3s Rebounds,The total number of rebounds grabbed on the team's and opponent's missed corner 3s.,Integer,Highest # = 100th,"Team Agg PBP, Team Game PBP",pbp
DRB%,Defensive Rebound Percentage,An estimate of the percentage of available defensive rebounds a player grabbed while he was on the floor.,Percentage,Highest % = 100th,"Player Game PBP, Team Game, Player Agg, Team Agg, Player Game, Lineup, On/Off",box_score
DEF CHNC,defChnc,No description available,Integer,Highest # = 100th,"Team Agg PBP, Team Game PBP",pbp
DEF CHNC STOPS,defChncStopPct,No description available,Percentage,Highest % = 100th,"Team Agg PBP, Team Game PBP",pbp
DEF CHNC STOP%,defChncStops,No description available,Integer,Highest # = 100th,"Team Agg PBP, Team Game PBP",pbp
DPF,Defensive Personal Fouls,The total number of defensive personal fouls committed.,Integer,Lowest # = 100th,"Player Game PBP, Team Game, Player Agg, Team Agg, Player Game, Team Agg PBP, Player Agg PBP, Team Game PBP","box_score, pbp"
DRtg,Defensive Rating,Points allowed per 100 possessions by the team.,Number,Lowest # = 100th,"Team Game, Team Agg, Lineup, On/Off",box_score
DRtg**Adj,Adjusted Defensive Rating,"The team's defensive rating, taking into account an adjustment based on the average defensive rating allowed by the team's opponents throughout the season.",Number,Lowest # = 100th,Team Agg,kenpom
DRB,Defensive Rebounds,The total number of defensive rebounds.,Integer,Highest # = 100th,"Team Game, Player Agg, Team Agg, Player Game, Lineup, On/Off",box_score
DEF POSS,defPoss,No description available,Integer,Highest # = 100th,"Team Agg PBP, Team Game PBP",pbp
DEF POSS STOP%,defPossStopPct,No description available,Percentage,Highest % = 100th,"Team Agg PBP, Team Game PBP",pbp
DEF POSS STOPS,defPossStops,No description available,Integer,Highest # = 100th,"Team Agg PBP, Team Game PBP",pbp
dFirstChnc,dFirstChnc,No description available,-,-,"Team Agg PBP, Team Game PBP",pbp
dPbkChnc,dPbkChnc,No description available,-,-,"Team Agg PBP, Team Game PBP",pbp
DPF%,Defensive Personal Fouls Percentage,The percentage of possessions with a defensive personal foul committed.,Percentage,Lowest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
DPF/100,Defensive Personal Fouls / 100 Poss,An estimate of the number of defensive personal fouls committed per 100 possessions played.,Number,Lowest # = 100th,"Team Agg, Team Agg PBP","box_score, pbp"
DPF/40,Defensive Personal Fouls / 40 Mins,The number of defensive personal fouls committed per 40 minutes played.,Number,Lowest # = 100th,"Player Agg, Team Agg, Team Agg PBP, Player Agg PBP","box_score, pbp"
DPF/G,Defensive Personal Fouls / Game,The number of defensive personal fouls committed per game.,Number,Lowest # = 100th,"Player Agg, Team Agg, Team Agg PBP, Player Agg PBP","box_score, pbp"
